Jobs,Chance
0,0.016004
1,0.092376
2,0.129842
3,0.151962
4,0.154393
5,0.126913
6,0.0966656
7,0.0720938
8,0.0526797
9,0.0357545
10,0.0241201
11,0.0160703
12,0.0106744
13,0.00704873
14,0.00464085
15,0.00304702
16,0.00199536
17,0.00130353
18,0.00084966
19,0.000552682
20,0.000358823
21,0.000232555
22,0.000150477
23,9.72237e-05
24,6.27307e-05
25,4.04241e-05
26,2.60193e-05
27,1.67296e-05
28,1.07459e-05
29,6.89602e-06
30,4.42165e-06
31,2.83287e-06
32,1.81363e-06
33,1.16031e-06
34,7.41862e-07
35,4.74038e-07
36,3.02734e-07
37,1.93235e-07
38,1.23281e-07
39,7.86164e-08
40,5.01122e-08
41,3.19301e-08
42,2.03374e-08
43,1.2949e-08
44,8.24198e-09
45,5.24436e-09
46,3.33599e-09
47,2.12147e-09
48,1.34876e-09
49,8.57284e-10
50,5.4477e-10
51,3.46102e-10
52,2.19839e-10
53,1.3961e-10
54,8.86437e-11
55,5.62731e-11
56,3.57173e-11
57,2.26666e-11
58,1.43822e-11
59,9.12432e-12
60,5.78781e-12
61,3.67088e-12
62,2.32793e-12
63,1.4761e-12
64,9.35857e-13
65,5.93273e-13
66,3.76056e-13
67,2.38345e-13
68,1.51048e-13
69,9.57158e-14
70,6.06473e-14
71,3.84239e-14
72,2.43418e-14
73,1.54195e-14
74,9.76678e-15
75,6.18586e-15
76,3.91757e-15
77,2.48085e-15
78,1.57093e-15
79,9.94677e-16
80,6.29766e-16
81,3.98703e-16
82,2.52402e-16
83,1.59776e-16
84,1.01135e-16
85,6.40135e-17
86,4.0515e-17
87,2.56412e-17
88,1.6227e-17
89,1.02687e-17
90,6.49786e-18
91,4.11155e-18
92,2.60148e-18
93,1.64594e-18
94,1.04133e-18
95,6.58787e-19
96,4.16754e-19
97,2.63632e-19
98,1.66761e-19
99,1.05466e-19
100,6.67e-20
101,4.22014e-20
102,2.67309e-20
103,1.68694e-20
104,1.06666e-20
105,6.80124e-21
106,4.67533e-21
107,2.62044e-21
108,1.75557e-21
109,5.46371e-34
110,0
111,0
112,0
113,0
114,0
