Index,Action number, actual_action dim1, actual_action dim2, cores in use dim1, cores in use dim2, number of jobs allocated, jobs in the system 
19400,4,0,0;2,8,2,2,6
19401,4,0,0;2,8,2,2,7
19402,4,0,0;2,8,2,2,8
19403,4,0,0;2,8,2,2,9
19404,4,0,0;2,8,2,2,10
19405,4,0,0;2,8,2,2,11
19406,4,0,0;2,8,2,2,12
19407,4,0,0;2,8,2,2,13
19408,4,0,0;2,8,2,2,14
19409,4,0,0;2,8,2,2,15
19410,4,0,0;2,8,2,2,16
19411,4,0,0;2,8,2,2,17
19412,4,0,0;2,8,2,2,18
19413,4,0,0;2,8,2,2,19
19414,4,0,0;2,8,2,2,20
19415,4,0,0;2,8,2,2,21
19416,4,0,0;2,8,2,2,22
19417,4,0,0;2,8,2,2,23
19418,4,0,0;2,8,2,2,24
19419,4,0,0;2,8,2,2,25
19420,4,0,0;2,8,2,2,26
19421,4,0,0;2,8,2,2,27
19422,4,0,0;2,8,2,2,28
19423,4,0,0;2,8,2,2,29
19424,4,0,0;2,8,2,2,30
19425,4,0,0;2,8,2,2,31
19426,4,0,0;2,8,2,2,32
19427,4,0,0;2,8,2,2,33
19428,4,0,0;2,8,2,2,34
19429,4,0,0;2,8,2,2,35
19430,4,0,0;2,8,2,2,36
19431,4,0,0;2,8,2,2,37
19432,4,0,0;2,8,2,2,38
19433,4,0,0;2,8,2,2,39
19434,4,0,0;2,8,2,2,40
19435,4,0,0;2,8,2,2,41
19436,4,0,0;2,8,2,2,42
19437,4,0,0;2,8,2,2,43
19438,4,0,0;2,8,2,2,44
19439,4,0,0;2,8,2,2,45
19440,4,0,0;2,8,2,2,46
19441,4,0,0;2,8,2,2,47
19442,4,0,0;2,8,2,2,48
19443,4,0,0;2,8,2,2,49
19444,4,0,0;2,8,2,2,50
19445,4,0,0;2,8,2,2,51
19446,4,0,0;2,8,2,2,52
19447,4,0,0;2,8,2,2,53
19448,4,0,0;2,8,2,2,54
19449,4,0,0;2,8,2,2,55
19450,4,0,0;2,8,2,2,56
19451,4,0,0;2,8,2,2,57
19452,4,0,0;2,8,2,2,58
19453,4,0,0;2,8,2,2,59
19454,4,0,0;2,8,2,2,60
19455,4,0,0;2,8,2,2,61
19456,4,0,0;2,8,2,2,62
19457,4,0,0;2,8,2,2,63
19458,4,0,0;2,8,2,2,64
19459,4,0,0;2,8,2,2,65
19460,4,0,0;2,8,2,2,66
19461,4,0,0;2,8,2,2,67
19462,4,0,0;2,8,2,2,68
19463,4,0,0;2,8,2,2,69
19464,4,0,0;2,8,2,2,70
19465,4,0,0;2,8,2,2,71
19466,4,0,0;2,8,2,2,72
19467,4,0,0;2,8,2,2,73
19468,4,0,0;2,8,2,2,74
19469,4,0,0;2,8,2,2,75
19470,4,0,0;2,8,2,2,76
19471,4,0,0;2,8,2,2,77
19472,4,0,0;2,8,2,2,78
19473,4,0,0;2,8,2,2,79
19474,4,0,0;2,8,2,2,80
19475,4,0,0;2,8,2,2,81
19476,4,0,0;2,8,2,2,82
19477,4,0,0;2,8,2,2,83
19478,4,0,0;2,8,2,2,84
19479,4,0,0;2,8,2,2,85
19480,4,0,0;2,8,2,2,86
19481,4,0,0;2,8,2,2,87
19482,4,0,0;2,8,2,2,88
19483,4,0,0;2,8,2,2,89
19484,4,0,0;2,8,2,2,90
19485,4,0,0;2,8,2,2,91
19486,4,0,0;2,8,2,2,92
19487,4,0,0;2,8,2,2,93
19488,4,0,0;2,8,2,2,94
19489,4,0,0;2,8,2,2,95
19490,4,0,0;2,8,2,2,96
19491,1,0,0,8,2,0,99
19492,1,0,0,8,2,0,100
19493,1,0,0,8,2,0,0
19494,1,0,0,8,2,0,1
19495,1,0,0,8,2,0,2
19496,4,0,0;2,8,2,2,1
19497,4,0,0;2,8,2,2,2
19498,4,0,0;2,8,2,2,3
19499,4,0,0;2,8,2,2,4
19500,4,0,0;2,8,2,2,5
19501,4,0,0;2,8,2,2,6
19502,4,0,0;2,8,2,2,7
19503,4,0,0;2,8,2,2,8
19504,4,0,0;2,8,2,2,9
19505,4,0,0;2,8,2,2,10
19506,4,0,0;2,8,2,2,11
19507,4,0,0;2,8,2,2,12
19508,4,0,0;2,8,2,2,13
19509,4,0,0;2,8,2,2,14
19510,4,0,0;2,8,2,2,15
19511,4,0,0;2,8,2,2,16
19512,4,0,0;2,8,2,2,17
19513,4,0,0;2,8,2,2,18
19514,4,0,0;2,8,2,2,19
19515,4,0,0;2,8,2,2,20
19516,4,0,0;2,8,2,2,21
19517,4,0,0;2,8,2,2,22
19518,4,0,0;2,8,2,2,23
19519,4,0,0;2,8,2,2,24
19520,4,0,0;2,8,2,2,25
19521,4,0,0;2,8,2,2,26
19522,4,0,0;2,8,2,2,27
19523,4,0,0;2,8,2,2,28
19524,4,0,0;2,8,2,2,29
19525,4,0,0;2,8,2,2,30
19526,4,0,0;2,8,2,2,31
19527,4,0,0;2,8,2,2,32
19528,4,0,0;2,8,2,2,33
19529,4,0,0;2,8,2,2,34
19530,4,0,0;2,8,2,2,35
19531,4,0,0;2,8,2,2,36
19532,4,0,0;2,8,2,2,37
19533,4,0,0;2,8,2,2,38
19534,4,0,0;2,8,2,2,39
19535,4,0,0;2,8,2,2,40
19536,4,0,0;2,8,2,2,41
19537,4,0,0;2,8,2,2,42
19538,4,0,0;2,8,2,2,43
19539,4,0,0;2,8,2,2,44
19540,4,0,0;2,8,2,2,45
19541,4,0,0;2,8,2,2,46
19542,4,0,0;2,8,2,2,47
19543,4,0,0;2,8,2,2,48
19544,4,0,0;2,8,2,2,49
19545,4,0,0;2,8,2,2,50
19546,4,0,0;2,8,2,2,51
19547,4,0,0;2,8,2,2,52
19548,4,0,0;2,8,2,2,53
19549,4,0,0;2,8,2,2,54
19550,4,0,0;2,8,2,2,55
19551,4,0,0;2,8,2,2,56
19552,4,0,0;2,8,2,2,57
19553,4,0,0;2,8,2,2,58
19554,4,0,0;2,8,2,2,59
19555,4,0,0;2,8,2,2,60
19556,4,0,0;2,8,2,2,61
19557,4,0,0;2,8,2,2,62
19558,4,0,0;2,8,2,2,63
19559,4,0,0;2,8,2,2,64
19560,4,0,0;2,8,2,2,65
19561,4,0,0;2,8,2,2,66
19562,4,0,0;2,8,2,2,67
19563,4,0,0;2,8,2,2,68
19564,4,0,0;2,8,2,2,69
19565,4,0,0;2,8,2,2,70
19566,4,0,0;2,8,2,2,71
19567,4,0,0;2,8,2,2,72
19568,4,0,0;2,8,2,2,73
19569,4,0,0;2,8,2,2,74
19570,4,0,0;2,8,2,2,75
19571,4,0,0;2,8,2,2,76
19572,4,0,0;2,8,2,2,77
19573,4,0,0;2,8,2,2,78
19574,4,0,0;2,8,2,2,79
19575,4,0,0;2,8,2,2,80
19576,4,0,0;2,8,2,2,81
19577,4,0,0;2,8,2,2,82
19578,4,0,0;2,8,2,2,83
19579,4,0,0;2,8,2,2,84
19580,4,0,0;2,8,2,2,85
19581,4,0,0;2,8,2,2,86
19582,4,0,0;2,8,2,2,87
19583,4,0,0;2,8,2,2,88
19584,4,0,0;2,8,2,2,89
19585,4,0,0;2,8,2,2,90
19586,4,0,0;2,8,2,2,91
19587,4,0,0;2,8,2,2,92
19588,4,0,0;2,8,2,2,93
19589,4,0,0;2,8,2,2,94
19590,4,0,0;2,8,2,2,95
19591,4,0,0;2,8,2,2,96
19592,1,0,0,8,2,0,99
19593,1,0,0,8,2,0,100
19594,1,0,0,8,2,0,0
19595,1,0,0,8,2,0,1
19596,1,0,0,8,2,0,2
19597,4,0,0;2,8,2,2,1
19598,4,0,0;2,8,2,2,2
19599,4,0,0;2,8,2,2,3
19600,4,0,0;2,8,2,2,4
19601,4,0,0;2,8,2,2,5
19602,4,0,0;2,8,2,2,6
19603,4,0,0;2,8,2,2,7
19604,4,0,0;2,8,2,2,8
19605,4,0,0;2,8,2,2,9
19606,4,0,0;2,8,2,2,10
19607,4,0,0;2,8,2,2,11
19608,4,0,0;2,8,2,2,12
19609,4,0,0;2,8,2,2,13
19610,4,0,0;2,8,2,2,14
19611,4,0,0;2,8,2,2,15
19612,4,0,0;2,8,2,2,16
19613,4,0,0;2,8,2,2,17
19614,4,0,0;2,8,2,2,18
19615,4,0,0;2,8,2,2,19
19616,4,0,0;2,8,2,2,20
19617,4,0,0;2,8,2,2,21
19618,4,0,0;2,8,2,2,22
19619,4,0,0;2,8,2,2,23
19620,4,0,0;2,8,2,2,24
19621,4,0,0;2,8,2,2,25
19622,4,0,0;2,8,2,2,26
19623,4,0,0;2,8,2,2,27
19624,4,0,0;2,8,2,2,28
19625,4,0,0;2,8,2,2,29
19626,4,0,0;2,8,2,2,30
19627,4,0,0;2,8,2,2,31
19628,4,0,0;2,8,2,2,32
19629,4,0,0;2,8,2,2,33
19630,4,0,0;2,8,2,2,34
19631,4,0,0;2,8,2,2,35
19632,4,0,0;2,8,2,2,36
19633,4,0,0;2,8,2,2,37
19634,4,0,0;2,8,2,2,38
19635,4,0,0;2,8,2,2,39
19636,4,0,0;2,8,2,2,40
19637,4,0,0;2,8,2,2,41
19638,4,0,0;2,8,2,2,42
19639,4,0,0;2,8,2,2,43
19640,4,0,0;2,8,2,2,44
19641,4,0,0;2,8,2,2,45
19642,4,0,0;2,8,2,2,46
19643,4,0,0;2,8,2,2,47
19644,4,0,0;2,8,2,2,48
19645,4,0,0;2,8,2,2,49
19646,4,0,0;2,8,2,2,50
19647,4,0,0;2,8,2,2,51
19648,4,0,0;2,8,2,2,52
